,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
0,Fin w/bulb & spade rudder,Fractional  Sloop,10.30 m,8.20 m,2.50 m,41.81 m<sup>2</sup>,1.80 m,"1,600 kg",725 kg,31.16,45.31,80.89,"FG w/core,Composite",Lead,1990,350,Ron Holland & Rolf Gyhlenius,11.41,2.16,6.48,9.81 m,3.10 m,11.00 m,4.15 m,4.00 m,12.50 m,15.22 m<sup>2</sup>,22.83 m<sup>2</sup>,28.36,10.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",11 METER,,,,,,,,,,,,,,,,,
1,Fin w/bulb & spade rudder,Fractional  Sloop,7.32 m,5.49 m,1.27 m,14.59 m<sup>2</sup>,0.91 m,413 kg,136 kg,26.80,32.97,69.66,Plywood or GRP,Iron,1938,750,C. Raymond Hunt,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",110,,,,,,,,,,,,,,,,,
2,Centerboard Dinghy,Gunter,5.97 m,5.39 m,1.43 m,12.73 m<sup>2</sup>,0.29 m,231 kg,,34.39,,41.06,Wood,,1931,,Krogen Brothers,5.48,2.35,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/12-square-meter-sharpie/pdf"">PDF</a>",12 SQUARE METER SHARPIE,0.97 m,,,,,,,,,,,,,,,,
3,Centerboard Dinghy,Fractional  Sloop,3.81 m,,1.43 m,9.48 m<sup>2</sup>,0.58 m,50 kg,,71.11,,,Plywood/FG,,1971,3100,Simon Grieg,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/125/pdf"">PDF</a>",125,0.08 m,See Class Association,Various,,,,,,,,,,,,,,
4,Fin w/bulb & spade rudder,Fractional  Sloop,10.67 m,9.60 m,3.28 m,74.51 m<sup>2</sup>,2.31 m,"2,971 kg","1,145 kg",36.77,38.55,93.55,FG,Lead,1998,48,Nelson/Marek,13.15,2.30,6.50,12.89 m,3.81 m,13.55 m,5.66 m,4.50 m,13.60 m,24.56 m<sup>2</sup>,38.34 m<sup>2</sup>,31.04,13.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",1D 35,,Carroll Marine Ltd.(USA),2GM20FC,2001,Yanmar,Diesel,18.5,45 L,1.62 m,159 L,,,,,,,
5,Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.47 m,4.32 m,110.74 m<sup>2</sup>,3.07 m,"8,150 kg","4,000 kg",27.91,49.08,117.06,Carbon inside/Kevlar ext./SCRIMP,Lead + Water,1995,8,Reichel Pugh Yacht Design,18.84,2.17,5.48,17.60 m,5.11 m,18.77 m,7.01 m,6.10 m,20.82 m,44.93 m<sup>2</sup>,65.79 m<sup>2</sup>,27.90,18.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",1D 48,,Tillotson Pearson (USA),3JH2,1996,Yanmar,Diesel,21,83 L,,,,,,,,,
6,Dbrd. Dinghy,Fractional  Sloop,4.63 m,,1.69 m,6.97 m<sup>2</sup>,1.00 m,160 kg,,24.05,,,FG,,2000,,,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",2-KRONAN,0.15 m,Krona Boats (SWE),,,,,,,,,,,,,,,
7,Fin w/spade rudder,Fractional  Sloop,4.11 m,3.66 m,0.81 m,7.43 m<sup>2</sup>,0.99 m,272 kg,159 kg,18.02,58.33,155.01,FG,Lead,1986,,Various,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",2.4 METER,,Various,,,,,,,,,,,,,,,
8,Fin with rudder on skeg,Fractional  Sloop,9.09 m,6.86 m,1.78 m,28.34 m<sup>2</sup>,1.17 m,"1,043 kg",519 kg,28.07,49.78,90.14,Ply with single chine or FG,Iron,1946,460,C. Raymond Hunt,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",210,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,
9,Centerboard Dinghy,Fractional  Sloop,4.40 m,,1.70 m,13.19 m<sup>2</sup>,0.70 m,90 kg,,66.92,,,FG,,1998,,Julian Bethwaite,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",29ER,,Several under License,,,,,,,,,,,,,,,
10,Centerboard Dinghy,Cat (Marconi),3.70 m,,1.52 m,8.73 m<sup>2</sup>,,48 kg,,67.17,,,FG,,1971,,Bruce Farr,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",3.7 (FARR),,,,,,,,,,,,,,,,,
11,Centerboard Dinghy,Fractional  Sloop,3.90 m,,1.54 m,8.45 m<sup>2</sup>,0.53 m,80 kg,,46.39,,,FG,,1968,,Christian Maury,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",390 (LANAVERRE),0.10 m,Lanaverre (FRA),,,,,,,,,,,,,,,
12,Centerboard Dinghy,Fractional  Sloop,4.05 m,3.93 m,1.38 m,7.98 m<sup>2</sup>,0.09 m,64 kg,,50.76,,29.32,FG,,1992,200,Chris Benedict,2.23,3.48,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/405-hobie/pdf"">PDF</a>",405 (HOBIE),0.27 m,Hobie Cat / Ultimate Sailboats (USA),,,,,,,,,,,,,,,
13,Centerboard Dinghy,Fractional  Sloop,4.20 m,4.01 m,1.65 m,13.01 m<sup>2</sup>,0.97 m,100 kg,,61.52,,42.99,FG,,1959,56000,Christian Maury,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",420,0.15 m,Various,,,,,,,,,,,,,,,
14,Centerboard Dinghy,Fractional  Sloop,4.70 m,4.44 m,1.68 m,12.73 m<sup>2</sup>,0.97 m,122 kg,,52.65,,38.75,FG,,1963,,André Cornu,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",470,0.15 m,Various,,,,,,,,,,,,,,,
15,Centerboard Dinghy,Fractional  Sloop,4.90 m,4.48 m,1.74 m,14.40 m<sup>2</sup>,1.16 m,127 kg,,58.00,,39.35,FG or Wood,,1968,,Christian Maury,2.82,3.49,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/490/pdf"">PDF</a>",490,,Various,,,,,,,,,,,,,,,
16,Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,21.27 m<sup>2</sup>,1.50 m,122 kg,,87.79,,,FG,,1999,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",49ER,,,,,,,,,,,,,,,,,
17,Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,19.23 m<sup>2</sup>,1.50 m,122 kg,,79.36,,,FG,,2010,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",49ERFX,,,,,,,,,,,,,,,,,
18,Fin Keel,Fractional  Sloop,9.91 m,7.01 m,1.98 m,28.80 m<sup>2</sup>,1.35 m,"1,814 kg",,19.74,,146.77,Wood/FG,Lead,1949,800,Various,19.75,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/55-meter/pdf"">PDF</a>",5.5 METER,,,,,,,,,,,,,,,,,
19,Centerboard Dinghy,Fractional  Sloop,5.03 m,4.57 m,1.88 m,16.26 m<sup>2</sup>,1.42 m,127 kg,,65.49,,37.04,Wood/FG,,1954,9100,John Westell/Austin Farrar ,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",505,0.15 m,Various,,,,,,,,,,,,,,,
20,Swing Keel,Fractional  Sloop,5.15 m,4.75 m,1.86 m,11.61 m<sup>2</sup>,1.08 m,355 kg,80 kg,23.58,22.48,92.43,FG,,1970,450,Christian Maury,6.81,2.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/510-lanaverre/pdf"">PDF</a>",510 (LANAVERRE),0.19 m,Lanaverre (FRA),,1975,,,,,,,www.facebook.com/Lanaverre510,,,,,,
21,Centerboard (Trunk),Fractional  Sloop,5.15 m,4.65 m,1.86 m,11.98 m<sup>2</sup>,1.08 m,360 kg,,24.11,,99.75,FG,,1976,,Christian Maury,7.00,2.64,5.36,4.60 m,2.35 m,5.50 m,2.38 m,,,5.41 m<sup>2</sup>,6.54 m<sup>2</sup>,24.05,5.17 m,"<a class="""" href=""https://sailboatdata.com/sailboat/517/pdf"">PDF</a>",517,0.20 m,,,,,,,,,,,,,,,,
22,Keel/Cbrd.,Fractional  Sloop,5.95 m,,2.05 m,17.19 m<sup>2</sup>,1.25 m,550 kg,140 kg,26.08,25.47,,FG,,1963,2000,Maury/Sergent,,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/590-lanaverre/pdf"">PDF</a>",590 (LANAVERRE),0.50 m,Lanaverre (FRA),,,,,,,,,,,,,,,
23,Centerboard Dinghy,Fractional  Sloop,4.80 m,,2.00 m,13.94 m<sup>2</sup>,1.50 m,75 kg,,79.83,,,FG,,1998,,Bethwaite Design/Frank Bethwaite,,4.79,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/59er/pdf"">PDF</a>",59ER,,Ovington Boats,,2005,,,,,,,,,,,,,
24,Long Keel,Fractional  Sloop,11.20 m,7.20 m,2.00 m,40.97 m<sup>2</sup>,1.60 m,"3,856 kg",,17.00,,287.99,,,1907,1200,Various,38.89,1.29,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/6-meter-international/pdf"">PDF</a>",6-METER (INTERNATIONAL),,,,,,,,,,,,,,,,,
25,Full keel with attached rudder,Masthead Sloop,10.40 m,7.65 m,3.03 m,46.00 m<sup>2</sup>,1.38 m,"6,460 kg",,13.53,,402.07,GRP,,1959,,Anton Miglitsch,37.15,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/65-kr-2/pdf"">PDF</a>",6.5 KR-2,,,,,Mercedes Benz,Diesel,34,,,,,,,,,,
26,Full keel with attached rudder,Masthead Sloop,10.70 m,7.16 m,2.65 m,39.50 m<sup>2</sup>,1.55 m,"5,050 kg",,13.69,,383.46,GRP,,1955,,Anton Miglitsch,35.77,1.56,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/65kr-1/pdf"">PDF</a>",6.5KR-1,,,,,,,,,,,,,,,,,
27,Foiling Monohull,Fractional  Sloop,6.90 m,6.83 m,2.10 m,38.40 m<sup>2</sup>,0.14 m,446 kg,,67.02,,38.99,Carbon fiber,,2020,,Wilson-Marquinez (ARG),5.16,2.77,,9.22 m,3.17 m,10.17 m,3.38 m,,,14.61 m<sup>2</sup>,17.19 m<sup>2</sup>,55.50,9.75 m,"<a class="""" href=""https://sailboatdata.com/sailboat/69f/pdf"">PDF</a>",69F,,Persico Marine (ITA),,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/11 (O&#039;DAY),,,,,,,,,,,,,,,,,
29,Fin w/transom hung rudder,Fractional  Sloop,7.07 m,5.80 m,2.05 m,21.18 m<sup>2</sup>,1.35 m,900 kg,540 kg,23.16,59.98,128.52,FG,Iron,1977,130,Gösta & Gunnar Edwardsson,11.92,2.14,4.60,8.00 m,2.50 m,8.25 m,2.70 m,,,10.00 m<sup>2</sup>,11.14 m<sup>2</sup>,23.11,8.38 m,"<a class="""" href=""https://sailboatdata.com/sailboat/707-edwardsson/pdf"">PDF</a>",707 (EDWARDSSON),,Kvarnfallets Varv (SWE),,1982,,,,,,,,,,,,,
30,Lifting Keel,Fractional  Sloop,7.22 m,7.01 m,2.53 m,29.73 m<sup>2</sup>,1.51 m,898 kg,415 kg,32.55,46.21,72.65,FG,Iron,1995,120,David Thomas,7.87,2.65,,,,,3.76 m,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/707-thomas/pdf"">PDF</a>",707 (THOMAS),,Hunter Boats (UK),,,,,,,,,,,,,,,
31,Lifting Keel,Fractional  Sloop,8.00 m,6.99 m,2.49 m,38.74 m<sup>2</sup>,1.70 m,"1,100 kg",175 kg,37.05,15.88,89.79,FG,Lead,1993,,J&J Yacht Design/Doug Peterson,9.54,2.44,7.02,10.06 m,3.16 m,10.45 m,3.80 m,3.70 m,,15.90 m<sup>2</sup>,19.86 m<sup>2</sup>,34.20,10.54 m,"<a class="""" href=""https://sailboatdata.com/sailboat/8m-one-design/pdf"">PDF</a>",8M ONE DESIGN,0.80 m,Shipman (HUN),,,,,,,,,,,,,,,
32,Fin w/bulb & spade rudder,Fractional  Sloop,8.35 m,7.25 m,2.98 m,42.46 m<sup>2</sup>,1.65 m,"2,155 kg",800 kg,25.95,37.14,157.49,FG (foam sandwich),,2014,,Joubert - Nivelt,14.16,2.33,4.03,10.67 m,3.10 m,10.90 m,3.85 m,4.60 m,11.25 m,16.53 m<sup>2</sup>,20.98 m<sup>2</sup>,22.93,11.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/a-27-archambault/pdf"">PDF</a>",A 27 (ARCHAMBAULT),,Archambault (FRA),,,,,,,,,,,,,,,
33,Fin w/spade rudder,Fractional (9/10) Sloop,10.59 m,9.29 m,3.55 m,67.50 m<sup>2</sup>,2.10 m,"4,450 kg","1,990 kg",25.45,44.72,154.68,GRP Sandwich resin infusion,Lead,2006,,Joubert-Nivelt,18.14,2.18,4.00,13.48 m,4.10 m,13.73 m,4.59 m,,,27.63 m<sup>2</sup>,31.52 m<sup>2</sup>,22.30,14.09 m,"<a class="""" href=""https://sailboatdata.com/sailboat/a-35-archambault/pdf"">PDF</a>",A 35 (ARCHAMBAULT),,Archambault Boats (FRA),3.21 SD10,2013,Nanni,Diesel,21,50 L,1.85 m,100 L,,,,,,,
34,Catamaran Twin Dbrd.,Cat (rotating spar),5.49 m,5.49 m,2.29 m,13.94 m<sup>2</sup>,,75 kg,,79.83,,12.63,Wood/FG/Composite,,1962,,,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-class-catamaran/pdf"">PDF</a>",A CLASS CATAMARAN,,,,,,,,,,,,2.02,,,,,
35,Scow Twin Cbrd.,Fractional  Sloop,11.58 m,,2.44 m,51.10 m<sup>2</sup>,1.22 m,839 kg,,58.53,,,Wood or FG,,1901,,John O. Johnson,,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-scow/pdf"">PDF</a>",A SCOW,0.30 m,Melges Boat Works (USA),,,,,,,,,,,,,,,
36,Catamaran Twin Cbrd.,Cat (Marconi),5.49 m,,2.29 m,13.94 m<sup>2</sup>,0.76 m,136 kg,,53.61,,,FG,,1967,,Jerry and David Hubbard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-lion/pdf"">PDF</a>",A-LION,0.15 m,American Fiberglass Corp. (USA),,,,,,,,,,N/A,,,,,
37,Fin w/transom hung rudder,Masthead Sloop,6.71 m,5.72 m,2.29 m,21.46 m<sup>2</sup>,1.17 m,"1,406 kg",703 kg,17.43,50.00,209.95,FG,,1977,,Ian Proctor /Abbott,16.58,2.06,2.64,8.53 m,2.99 m,7.16 m,2.44 m,,,12.75 m<sup>2</sup>,8.73 m<sup>2</sup>,17.44,9.04 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-22/pdf"">PDF</a>",ABBOTT 22,,Abbott Boats Inc. (CAN),,,,,,,,19 L,,,,,,,
38,Fin w/transom hung rudder,Masthead Sloop,8.33 m,6.93 m,2.74 m,33.07 m<sup>2</sup>,1.50 m,"2,722 kg","1,225 kg",17.30,45.00,227.49,FG w/balsa core hull & deck,,1986,,Bill Abbott Sr.,20.59,1.98,2.43,10.44 m,3.35 m,8.84 m,3.51 m,,,17.50 m<sup>2</sup>,15.49 m<sup>2</sup>,17.26,10.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-27/pdf"">PDF</a>",ABBOTT 27,,Abbott Boats Inc. (CAN),,,,,,,,,,,,,,,
39,Fin w/spade rudder,Fractional  Sloop,10.15 m,8.21 m,2.50 m,40.13 m<sup>2</sup>,1.65 m,"2,747 kg","1,499 kg",20.86,54.55,138.61,FG,,1980,40,Jan Larsen/Abbott,19.65,1.80,4.10,10.97 m,3.51 m,11.75 m,3.55 m,,,19.23 m<sup>2</sup>,20.86 m<sup>2</sup>,20.84,11.52 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-33/pdf"">PDF</a>",ABBOTT 33,,Abbott Boats (CAN),,,,,,,,57 L,,,,,,,
40,Fin w/spade rudder,Fractional  Sloop,11.05 m,8.84 m,3.05 m,51.93 m<sup>2</sup>,1.83 m,"4,536 kg","2,030 kg",19.33,44.75,183.05,FG Foam Core,Lead,1985,,Bill Abbott Sr.,23.08,1.86,3.20,12.17 m,3.89 m,12.80 m,4.42 m,,,23.64 m<sup>2</sup>,28.29 m<sup>2</sup>,19.33,12.77 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-36/pdf"">PDF</a>",ABBOTT 36,,Abbott Boats Ltd. (CAN),,,Volvo,Diesel,18,38 L,,189 L,,,,,,,
41,Long Keel,Masthead Sloop,6.10 m,4.88 m,2.23 m,18.77 m<sup>2</sup>,0.74 m,"1,134 kg",454 kg,17.59,40.00,272.48,FG,Lead,1972,,W. R. Loughlin,15.81,2.16,1.88,7.32 m,2.44 m,6.22 m,2.59 m,,,8.92 m<sup>2</sup>,8.06 m<sup>2</sup>,15.92,7.71 m,"<a class="""" href=""https://sailboatdata.com/sailboat/able-20/pdf"">PDF</a>",ABLE 20,,Loughlin Boat Works.  (USA),,,,,,,,38 L,,,,,,,
42,Fin with rudder on skeg,Masthead Sloop,12.80 m,9.96 m,3.86 m,74.42 m<sup>2</sup>,1.58 m,"9,833 kg","2,259 kg",16.55,22.97,277.54,FG,Lead,1989,,Chuck Paine,32.10,1.82,1.89,16.31 m,5.11 m,14.50 m,4.52 m,,,41.63 m<sup>2</sup>,32.78 m<sup>2</sup>,16.55,17.09 m,"<a class="""" href=""https://sailboatdata.com/sailboat/able-42/pdf"">PDF</a>",ABLE 42,,Able Marine,,,,,,,,,,,,,,,
43,Catamaran Twin Dbrd.,Wing (multi element),13.45 m,,6.90 m,132.94 m<sup>2</sup>,2.70 m,"1,400 kg",,108.30,,,Composite,,2010,12,Oracle Racing Team,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/ac45/pdf"">PDF</a>",AC45,,Oracle Racing Team,,2011,,,,,,,,N/A,,,,,
44,Long Keel,Masthead Sloop,9.14 m,6.63 m,2.59 m,35.95 m<sup>2</sup>,1.32 m,"3,175 kg","1,542 kg",16.97,48.57,303.72,FG,Iron or Lead,1964,,G. William McVay,25.81,1.78,1.71,10.06 m,3.40 m,8.94 m,4.19 m,,,17.11 m<sup>2</sup>,18.73 m<sup>2</sup>,16.92,10.62 m,"<a class="""" href=""https://sailboatdata.com/sailboat/acadian-30-paceship/pdf"">PDF</a>",ACADIAN 30 (PACESHIP),,Industrial Manufacturing (CAN) ,Atomic 4,1971,Universal,Gas,30,38 L,,95 L,,,,,,,
45,Long Keel,Masthead  Yawl,9.14 m,6.63 m,2.59 m,36.14 m<sup>2</sup>,1.31 m,"3,175 kg","1,542 kg",17.06,48.57,303.72,FG,,1968,,G. William McVay,25.81,1.78,1.61,10.06 m,3.40 m,8.53 m,3.73 m,,,17.11 m<sup>2</sup>,15.93 m<sup>2</sup>,15.60,10.62 m,"<a class="""" href=""https://sailboatdata.com/sailboat/acadian-30-ywl-paceship/pdf"">PDF</a>",ACADIAN 30 YWL (PACESHIP),,Industrial Manufacturing (CAN),Atomic 4,,Universal,Gas,30,38 L,,95 L,,,3.43 m,1.80 m,,,
46,Long Keel,Masthead Sloop,12.09 m,9.14 m,3.94 m,53.14 m<sup>2</sup>,1.65 m,"10,206 kg","2,835 kg",11.53,27.78,372.02,FG,,1967,,Ted Carpentier,35.00,1.83,1.08,14.08 m,4.72 m,12.27 m,4.88 m,,,33.26 m<sup>2</sup>,29.91 m<sup>2</sup>,13.71,14.85 m,"<a class="""" href=""https://sailboatdata.com/sailboat/acapulco-40/pdf"">PDF</a>",ACAPULCO 40,,Acapulco Yacht Corp. (USA),,,Isuzu,Diesel,40,473 L,,303 L,,,,,,,
47,Fin with rudder on skeg,Masthead Sloop,8.05 m,6.25 m,2.77 m,26.01 m<sup>2</sup>,1.54 m,"2,500 kg",890 kg,14.40,35.60,285.21,FG,Iron,1975,760,Peter Norlin,20.21,2.06,1.64,10.00 m,3.00 m,8.80 m,2.50 m,,,15.00 m<sup>2</sup>,11.00 m<sup>2</sup>,14.39,10.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/accent-26-albin/pdf"">PDF</a>",ACCENT 26 (ALBIN),,Shipman Marine/Albin (SWE),,1980,Yanmar,Diesel,8,,,,,,,,,,
48,Fin w/transom hung rudder,Cat (Marconi),2.30 m,,1.25 m,3.72 m<sup>2</sup>,0.75 m,72 kg,20 kg,21.82,27.67,,FG,,2006,,Chris Mitchell,,3.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-23/pdf"">PDF</a>",ACCESS 2.3,,,,,,,,,,,,,,,,,
49,Lifting Keel,,3.60 m,,1.35 m,7.34 m<sup>2</sup>,1.10 m,144 kg,72 kg,27.22,50.16,,FG,,2003,70,Chris Mitchell,,2.60,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-liberty/pdf"">PDF</a>",ACCESS LIBERTY,,,,,,,,,,,,,,,,,
50,Fin with rudder on skeg,Masthead Sloop,7.24 m,5.94 m,2.16 m,19.51 m<sup>2</sup>,1.14 m,"1,179 kg",596 kg,17.81,50.54,156.54,FG,,1968,600,Oliver Lee /Chris Butler,14.23,2.06,3.39,7.85 m,2.34 m,6.78 m,3.05 m,,,9.17 m<sup>2</sup>,10.34 m<sup>2</sup>,17.81,8.19 m,"<a class="""" href=""https://sailboatdata.com/sailboat/achilles-24/pdf"">PDF</a>",ACHILLES 24,,Butler Moldings Ltd. (UK),,1985,,,,,,,,,,,,,
51,Fin with rudder on skeg,Masthead Sloop,8.46 m,7.39 m,2.74 m,32.89 m<sup>2</sup>,1.52 m,"2,495 kg","1,136 kg",18.23,45.55,172.18,FG/balsa core deck,Iron,1979,,Chris Butler,18.00,2.04,3.21,10.77 m,3.49 m,9.45 m,2.97 m,,,18.81 m<sup>2</sup>,14.04 m<sup>2</sup>,18.21,11.32 m,"<a class="""" href=""https://sailboatdata.com/sailboat/achilles-840/pdf"">PDF</a>",ACHILLES 840,,Butler Achilles Ltd (UK),2001,,Volvo ,Diesel,9.5,98 L,,68 L,,,,,,,
52,Fin with rudder on skeg,Masthead Sloop,9.09 m,7.75 m,2.74 m,32.89 m<sup>2</sup>,1.68 m,"3,175 kg","1,360 kg",15.53,42.83,190.25,FG,Iron,1975,100,Chris Butler,21.67,1.88,2.64,10.77 m,3.49 m,9.45 m,2.97 m,,,18.81 m<sup>2</sup>,14.04 m<sup>2</sup>,15.51,11.32 m,"<a class="""" href=""https://sailboatdata.com/sailboat/achilles-9m/pdf"">PDF</a>",ACHILLES 9M,,Butler Mouldings Ltd. (UK),,1984,Volvo Penta,Diesel,,57 L,,114 L,,,,,,,
53,Long Keel,Masthead Sloop,8.14 m,7.30 m,2.80 m,29.08 m<sup>2</sup>,1.25 m,"3,000 kg","1,300 kg",14.26,43.33,214.93,FG,Iron,1968,350,Lars Olof Norlin,21.49,1.96,2.21,9.97 m,3.12 m,8.35 m,3.24 m,,,15.56 m<sup>2</sup>,13.53 m<sup>2</sup>,14.26,10.45 m,"<a class="""" href=""https://sailboatdata.com/sailboat/adagio-27/pdf"">PDF</a>",ADAGIO 27,,,,1982,,,,,,,,,,,,,
54,Fin w/transom hung rudder,Fractional  Sloop,10.06 m,9.49 m,2.63 m,39.02 m<sup>2</sup>,1.75 m,"2,953 kg","1,559 kg",19.33,52.80,96.34,FG,Lead,1980,100,Joe Adams,18.01,1.85,4.82,10.52 m,3.56 m,11.58 m,3.81 m,,,18.70 m<sup>2</sup>,22.06 m<sup>2</sup>,20.20,11.10 m,"<a class="""" href=""https://sailboatdata.com/sailboat/adams-10/pdf"">PDF</a>",ADAMS 10,,Adams Yachts (AU),,,,,,,,,www.adams10.yachting.org.au,,,,,,
55,Fin w/transom hung rudder,Fractional  Sloop,10.60 m,10.10 m,2.78 m,49.33 m<sup>2</sup>,1.83 m,"3,047 kg","1,835 kg",23.94,60.22,82.39,FG,,1980,,Joe Adams,16.24,1.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/adams-106/pdf"">PDF</a>",ADAMS 10.6,,Joe Adams (AU),,,,,,,,,,,,,,,
56,Keel/Cbrd.,Cutter,13.14 m,12.38 m,3.10 m,99.68 m<sup>2</sup>,2.67 m,"6,560 kg","3,630 kg",29.03,55.34,96.33,FG,Lead,1978,80,Joe Adams,24.60,1.67,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/adams-13/pdf"">PDF</a>",ADAMS 13,1.04 m,Adams Yachts & others,,2000,,,,159 L,,299 L,,,,,,,
57,Keel/Cbrd.,Fractional  Sloop,6.45 m,5.33 m,2.41 m,20.44 m<sup>2</sup>,1.22 m,891 kg,,22.50,,163.88,FG,Lead,1977,,Adams,10.38,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/adams-21/pdf"">PDF</a>",ADAMS 21,0.46 m,Jarkan Yachts (AU),,,,,,,,,,,,,,,
58,Fin w/transom hung rudder,Fractional  Sloop,8.07 m,7.55 m,2.43 m,32.70 m<sup>2</sup>,1.47 m,"1,542 kg",,24.98,,99.84,FG,,1981,,Joe Adams,13.08,2.12,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/adams-8/pdf"">PDF</a>",ADAMS 8,,Naute Yachts (AUS),,,,,,,,,,,,,,,
59,Fin w/spade rudder,Masthead Sloop,9.11 m,7.77 m,3.25 m,43.48 m<sup>2</sup>,1.75 m,"2,177 kg",998 kg,26.39,45.83,129.23,FG,Lead,1985,3,Doug Peterson,11.82,2.53,5.01,12.45 m,3.68 m,11.05 m,3.73 m,,,22.90 m<sup>2</sup>,20.63 m<sup>2</sup>,26.42,12.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/adhara-30/pdf"">PDF</a>",ADHARA 30,,Dencho Marine (USA),,1986,,,,,,,,,,,,,
