,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
6978,Fin Keel,Fractional  Sloop,7.32 m,4.57 m,1.75 m,16.26 m<sup>2</sup>,1.07 m,771 kg,345 kg,19.70,44.71,224.87,Wood/FG,,1938,30,Sparkman & Stephens,14.43,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seawanhaka-sea-bird/pdf"">PDF</a>",SEAWANHAKA SEA BIRD,,Penn Yan Boats (USA),,,,,,,,,,,,,,,
6979,Keel/Cbrd.,Fractional  Sloop,6.71 m,6.27 m,2.54 m,17.93 m<sup>2</sup>,1.04 m,998 kg,340 kg,18.30,34.09,112.68,FG,,1985,,Nick Hake,9.61,2.56,4.19,7.01 m,2.44 m,6.86 m,2.74 m,,,8.55 m<sup>2</sup>,9.41 m<sup>2</sup>,18.32,7.42 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-22/pdf"">PDF</a>",SEAWARD 22,0.59 m,"Hake Yachts, Inc. (USA)",,,,,,,,,,,,,,,
6980,Fin w/transom hung rudder,Fractional  Sloop,7.47 m,6.40 m,2.54 m,24.62 m<sup>2</sup>,0.63 m,"1,225 kg",408 kg,21.92,33.33,130.15,FG solid hull&deck,,1984,,Nick Hake,11.24,2.40,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-23/pdf"">PDF</a>",SEAWARD 23,,"Hake Yachts, Inc. (USA)",,2002,,,,,,,,,,,,9.91 m,
6981,Keel/Cbrd.,Fractional  Sloop,7.32 m,6.71 m,2.44 m,23.97 m<sup>2</sup>,1.07 m,"1,406 kg",499 kg,19.47,35.48,129.97,FG,Lead,1984,,Nick Hake,13.28,2.20,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-24/pdf"">PDF</a>",SEAWARD 24,0.61 m,"Hake Yachts, Inc. (USA)",,,,,,,,,,,,,,9.75 m,
6982,Fin w/transom hung rudder,Fractional  Sloop,8.15 m,7.01 m,2.54 m,22.95 m<sup>2</sup>,0.63 m,"1,633 kg",544 kg,16.87,33.33,132.09,FG,,1984,600,Nick Hake,13.69,2.18,3.62,7.77 m,2.67 m,7.90 m,3.18 m,,,10.36 m<sup>2</sup>,12.55 m<sup>2</sup>,16.84,8.22 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-25/pdf"">PDF</a>",SEAWARD 25,,"Hake Yachts, Inc. (USA)",,,,,,,,,,,,,,9.91 m,
6983,"Lifting keel w/bulb, trans. hung rudder",Fractional  Sloop,8.66 m,7.52 m,2.54 m,26.01 m<sup>2</sup>,1.83 m,"1,724 kg",544 kg,18.45,31.58,112.99,FG,Lead,2005,,Nick Hake,13.52,2.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-26rk/pdf"">PDF</a>",SEAWARD 26RK,0.38 m,Seaward Yachts (USA),Outboard,,,Gas,,26 L,,76 L,,,,,,10.06 m,
6984,"Lifting keel w/bulb, trans. hung rudder",Masthead Sloop,10.54 m,9.32 m,3.20 m,42.74 m<sup>2</sup>,1.96 m,"3,765 kg","1,089 kg",18.01,28.92,129.57,FG,,2006,,Nick Hake,17.61,2.08,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-32rk/pdf"">PDF</a>",SEAWARD 32RK,0.51 m,Seaward Yachts (USA),,,,Diesel,,76 L,,246 L,,,,,,13.11 m,
6985,Fin w/bulb & dual rudders,Masthead Sloop,14.63 m,13.66 m,4.04 m,93.46 m<sup>2</sup>,2.13 m,"10,433 kg","3,402 kg",19.98,32.61,113.97,FG,,2012,,Nick Hake,24.86,1.87,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-46rk/pdf"">PDF</a>",SEAWARD 46RK,0.74 m,Seaward Yachts (USA),,,Yanmar,Dieselx2,,681 L,,681 L,,,,,,18.90 m,
6986,Fin (shoal draft),Masthead Sloop,10.54 m,9.32 m,3.20 m,44.59 m<sup>2</sup>,1.07 m,"3,493 kg","1,361 kg",19.76,38.96,120.21,FG,,1996,,Nick Hake,16.34,2.13,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-eagle/pdf"">PDF</a>",SEAWARD EAGLE,,"Hake Yachts, Inc. (USA)",,,,,,,,,,,,,,,
6987,Fin w/transom hung rudder,Fractional  Sloop,6.02 m,4.52 m,2.44 m,15.79 m<sup>2</sup>,0.48 m,590 kg,204 kg,22.88,34.62,177.94,FG,,1993,,Nick Hake,7.72,2.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaward-fox/pdf"">PDF</a>",SEAWARD FOX,,"Hake Yachts, Inc. (USA)",,,,,,,,,,,,,,7.62 m,
6988,Lifting Keel,Fractional  Sloop,7.87 m,6.45 m,2.49 m,24.62 m<sup>2</sup>,1.52 m,"1,270 kg",590 kg,21.40,46.43,131.94,FG,Lead,1978,,Doug Peterson,11.69,2.32,4.30,8.12 m,2.70 m,8.60 m,3.18 m,,,10.96 m<sup>2</sup>,13.67 m<sup>2</sup>,21.41,8.56 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seaway-25/pdf"">PDF</a>",SEAWAY 25,0.33 m,Stevenson Sailboats Pty. Ltd. (AUS),,,,,,,,,,,,,,,
6989,Long keel w/trans. hung rudder,Masthead  Ketch,9.30 m,7.32 m,2.82 m,46.64 m<sup>2</sup>,1.28 m,"5,443 kg","1,905 kg",15.38,35.00,387.52,FG,,1962,161,Thomas Gillmer,36.91,1.62,0.96,10.84 m,3.73 m,9.70 m,3.96 m,,,20.25 m<sup>2</sup>,19.22 m<sup>2</sup>,13.01,11.47 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seawind-allied/pdf"">PDF</a>",SEAWIND (ALLIED),,Allied Boat Co. (USA),M-60,1982,Palmer /Gray Marine,Gas,,45 L,,114 L,,,5.54 m,2.59 m,,,
