,Designer
murray burns dovell,0.0009528346831824678
thames structural plastics/thames marine,0.0009528346831824678
walter scott,0.0009528346831824678
van peteghem/lauriot-prevost,0.0009528346831824678
michael mccreary,0.0009528346831824678
andre beneteau,0.0009528346831824678
david feltham,0.0009528346831824678
martin bludworth,0.0009528346831824678
simonis-voogd,0.0009528346831824678
c&c,0.0009528346831824678
ettore santarelli,0.0009528346831824678
mark ellis,0.0009528346831824678
alan wright,0.0009528346831824678
thorwald karlsson,0.0009528346831824678
herreshoff,0.0009528346831824678
alden,0.0008337303477846593
felci yacht design,0.0008337303477846593
bernt andersson,0.0008337303477846593
camper & nicholson/raymond wall,0.0008337303477846593
roger dongray,0.0008337303477846593
harry becker,0.0008337303477846593
alain jezequel,0.0008337303477846593
paul handley,0.0008337303477846593
kaj gustafsson,0.0008337303477846593
andrew wolstenholme,0.0008337303477846593
ron amy,0.0008337303477846593
camper & nicholson,0.0008337303477846593
harwood ives,0.0008337303477846593
mark ellis design,0.0008337303477846593
lars olof norlin,0.0008337303477846593
cees van tongeren,0.0008337303477846593
john cherubini,0.0008337303477846593
don martin,0.0008337303477846593
cossutti yacht design,0.0008337303477846593
seymour paul,0.0008337303477846593
william tripp iii,0.0008337303477846593
william cook,0.0008337303477846593
ted carpentier,0.0008337303477846593
greg elliott,0.0008337303477846593
gert gerlach,0.0008337303477846593
häkan södergren,0.0008337303477846593
clark mills,0.0008337303477846593
various,0.0008337303477846593
herb david,0.0008337303477846593
ray richards,0.0008337303477846593
joubert - nivelt,0.0008337303477846593
bill lee,0.0008337303477846593
gilbert caroff,0.0008337303477846593
berret,0.0008337303477846593
phillippe briand,0.0008337303477846593
jacques de ridder,0.0007146260123868509
peter legnos,0.0007146260123868509
leonardo da costa sayago,0.0007146260123868509
robert h. baker,0.0007146260123868509
don clark,0.0007146260123868509
john g. alden,0.0007146260123868509
alex mcgruer,0.0007146260123868509
morelli & melvin,0.0007146260123868509
mats gustafsson,0.0007146260123868509
paul lindenberg,0.0007146260123868509
john butler,0.0007146260123868509
jack laurent giles,0.0007146260123868509
murray ross,0.0007146260123868509
donald pye,0.0007146260123868509
bruce kelley,0.0007146260123868509
nathanael g. herreshoff,0.0007146260123868509
robert harris,0.0007146260123868509
john g. alden inc,0.0007146260123868509
angelo lavranos,0.0007146260123868509
yachtzentrum greifswald,0.0007146260123868509
kaufmann & ladd,0.0007146260123868509
bill wellington,0.0007146260123868509
f. s. ford,0.0007146260123868509
jim voysey,0.0007146260123868509
mills design,0.0007146260123868509
richard wrighton,0.0007146260123868509
joe adams,0.0007146260123868509
r. c. lazzarra,0.0007146260123868509
jacek centkowski,0.0007146260123868509
william tripp,0.0007146260123868509
jeppesen,0.0007146260123868509
brian bennett,0.0007146260123868509
william atkin,0.0007146260123868509
frank butler/gerry douglas,0.0007146260123868509
yves loday,0.0007146260123868509
johan valentijn,0.0007146260123868509
tim kernan,0.0007146260123868509
samuel manuard,0.0007146260123868509
hoek design,0.0007146260123868509
palle mortensen,0.0007146260123868509
howard hughes,0.0007146260123868509
j. h. mcglasson,0.0005955216769890424
arne borghegn,0.0005955216769890424
yves mareschal,0.0005955216769890424
sam manuard,0.0005955216769890424
dick koopmans jr,0.0005955216769890424
john westell,0.0005955216769890424
johannes helsen,0.0005955216769890424
olsöners båtbyggen,0.0005955216769890424
chuck paine & associates,0.0005955216769890424
manfred schöchl,0.0005955216769890424
gilles vaton,0.0005955216769890424
kim swarbrick,0.0005955216769890424
tomasz siwik,0.0005955216769890424
bruce farr & armel briand,0.0005955216769890424
henry mohrschladt,0.0005955216769890424
c. w. paine,0.0005955216769890424
ernest tucker,0.0005955216769890424
