,HP
2x 40,0.0008337303477846593
175.0,0.0008337303477846593
2x 57,0.0008337303477846593
17.0,0.0008337303477846593
96.0,0.0008337303477846593
2x 110,0.0008337303477846593
2x 29,0.0008337303477846593
78.0,0.0008337303477846593
66.0,0.0008337303477846593
82.0,0.0007146260123868509
125.0,0.0007146260123868509
46.0,0.0007146260123868509
88.0,0.0007146260123868509
31.0,0.0007146260123868509
49.0,0.0007146260123868509
2x 20,0.0007146260123868509
220.0,0.0005955216769890424
110 x 2,0.0005955216769890424
240.0,0.0005955216769890424
5.0,0.0004764173415912339
115.0,0.0004764173415912339
6-10,0.0004764173415912339
4.0,0.0004764173415912339
2x 60,0.0004764173415912339
2x 56,0.0004764173415912339
9.5,0.0004764173415912339
165.0,0.0004764173415912339
2x 54,0.0004764173415912339
4-10,0.00035731300619342544
210.0,0.00035731300619342544
107.0,0.00035731300619342544
94.0,0.00035731300619342544
4-8,0.00035731300619342544
95.0,0.00035731300619342544
109.0,0.00035731300619342544
83.0,0.00035731300619342544
73.0,0.00035731300619342544
18.8,0.00035731300619342544
200.0,0.00035731300619342544
190.0,0.00035731300619342544
14-21,0.00035731300619342544
225.0,0.00035731300619342544
6-8,0.00035731300619342544
108.0,0.00023820867079561695
2x 13,0.00023820867079561695
25 to 50,0.00023820867079561695
77.0,0.00023820867079561695
19 x 2,0.00023820867079561695
195.0,0.00023820867079561695
68.0,0.00023820867079561695
170.0,0.00023820867079561695
305.0,0.00023820867079561695
9-14,0.00023820867079561695
4.7,0.00023820867079561695
20-34,0.00023820867079561695
2.5-5,0.00023820867079561695
2-4,0.00023820867079561695
18.5,0.00023820867079561695
2x 65,0.00023820867079561695
50 x2,0.00023820867079561695
13.5,0.00023820867079561695
2x 19,0.00023820867079561695
12.5,0.00023820867079561695
16.5,0.00023820867079561695
247.0,0.00023820867079561695
2x  29,0.00023820867079561695
12.2,0.00023820867079561695
185.0,0.00023820867079561695
8-12,0.00023820867079561695
15.5,0.00023820867079561695
14 - 27,0.00023820867079561695
5-7,0.00023820867079561695
145.0,0.00023820867079561695
8-40,0.00023820867079561695
2x 27,0.00023820867079561695
2x 50,0.00023820867079561695
106.0,0.00023820867079561695
81.0,0.00023820867079561695
2x 75,0.00023820867079561695
29 x 2,0.00011910433539780847
9.9-35,0.00011910433539780847
55 x 2,0.00011910433539780847
2x 39,0.00011910433539780847
138.0,0.00011910433539780847
60 to 100,0.00011910433539780847
2.5,0.00011910433539780847
29x2,0.00011910433539780847
45 x 2,0.00011910433539780847
98.0,0.00011910433539780847
80 to 120,0.00011910433539780847
2x 38,0.00011910433539780847
35/38,0.00011910433539780847
2x 15,0.00011910433539780847
2x 30 + 2x 10kw,0.00011910433539780847
2x 42,0.00011910433539780847
2.0,0.00011910433539780847
2x 40/50,0.00011910433539780847
2x 5.77,0.00011910433539780847
5-10,0.00011910433539780847
146.0,0.00011910433539780847
8-15,0.00011910433539780847
8-13,0.00011910433539780847
37.5,0.00011910433539780847
315.0,0.00011910433539780847
13.4,0.00011910433539780847
5-14,0.00011910433539780847
4-6,0.00011910433539780847
44/50,0.00011910433539780847
12 to 25,0.00011910433539780847
116.0,0.00011910433539780847
127.0,0.00011910433539780847
15-20,0.00011910433539780847
8.2,0.00011910433539780847
2x 48,0.00011910433539780847
2x 10,0.00011910433539780847
67.0,0.00011910433539780847
150 x 2,0.00011910433539780847
45 to 80,0.00011910433539780847
64.0,0.00011910433539780847
2x 21-29,0.00011910433539780847
74.0,0.00011910433539780847
102.0,0.00011910433539780847
19.8,0.00011910433539780847
2x 49,0.00011910433539780847
163.0,0.00011910433539780847
34.5,0.00011910433539780847
71.0,0.00011910433539780847
450.0,0.00011910433539780847
